"","TagName","Rack","Address","Slot","Controllerl","TagType","DefaultVal","Operationl","Resoultion","ScaleMax","Scalemin","AlarmIDX","GroupIDX","ScanTime","HistoryIDX","ControlBlock","Special","Engineerin","Field1","ID","OpFlag","value"
"1","CC163.BHX81_HS011",NA,NA,NA,"CC163",6,1,NA,0,0,1600,NA,0,25,NA,"1024,191",0,NA,NA,2911,1,655
"2","CC163.BHX81_HD009",NA,NA,NA,"CC163",6,1,NA,0,0,3000,NA,0,25,NA,"1023,171",0,NA,NA,2894,2,1228
"3","CC163.BHX81_HS007",NA,NA,NA,"CC163",6,1,NA,0,0,7598,NA,0,25,NA,"1024,150",0,NA,NA,2910,3,3111
"4","CC163.BHX81_HS005",NA,NA,NA,"CC163",6,1,NA,0,0,1600,NA,0,25,NA,"1023,137",0,NA,NA,2909,4,655
"5","CC163.BHX81_HS003",NA,NA,NA,"CC163",6,1,NA,0,0,1600,NA,0,25,NA,"1023,125",0,NA,NA,2908,5,655
"6","CC163.BHX81_HD001",NA,NA,NA,"CC163",6,1,NA,0,0,3000,NA,1,25,NA,"1023,102",0,NA,NA,2893,6,1228
"7","CC163.BHX81_HS091",NA,NA,NA,"CC163",6,1,NA,0,0,3826,NA,0,25,NA,"1023,77",0,NA,NA,2933,7,1566
"8","CC163.BHX81_HT089",NA,NA,NA,"CC163",6,1,NA,0,0,1335,NA,0,25,NA,"1020,59",0,NA,NA,2981,8,546
"9","CC163.BHX81_HT087",NA,NA,NA,"CC163",6,1,NA,0,0,1335,NA,0,25,NA,"1009,44",0,NA,NA,2980,9,546
"10","CC163.BHX81_HT085",NA,NA,NA,"CC163",6,1,NA,0,0,1335,NA,0,25,NA,"987,38",0,NA,NA,2979,10,546
"11","CC163.BHX81_HT083",NA,NA,NA,"CC163",6,1,NA,0,0,1335,NA,0,25,NA,"967,38",0,NA,NA,2978,11,546
"12","CC163.BHX81_HT081",NA,NA,NA,"CC163",6,1,NA,0,0,1335,NA,0,25,NA,"947,45",0,NA,NA,2977,12,546
"13","CC163.BHX81_HT079",NA,NA,NA,"CC163",6,1,NA,0,0,1335,NA,0,25,NA,"936,58",0,NA,NA,2976,13,546
"14","CC163.BHX81_HS307",NA,NA,NA,"CC163",6,1,NA,0,0,3785,NA,0,25,NA,"935,77",0,NA,NA,2942,14,1550
"15","CC163.BHX81_HS077",NA,NA,NA,"CC163",6,1,NA,0,0,13626,NA,0,25,NA,"933,98",0,NA,NA,2932,15,5580
"16","CC163.BHX81_HM349",NA,NA,NA,"CC163",6,1,NA,0,0,3000,NA,0,25,NA,"934,123",0,NA,NA,2902,16,1228
"17","CC163.BHX81_HS075",NA,NA,NA,"CC163",6,1,NA,0,0,15000,NA,0,25,NA,"934,152",0,NA,NA,2931,17,6144
"18","CC163.BHX81_HS073",NA,NA,NA,"CC163",6,1,NA,0,0,15000,NA,0,25,NA,"934,208",0,NA,NA,2930,18,6144
"19","CC163.BHX81_HS071",NA,NA,NA,"CC163",6,1,NA,0,0,15000,NA,0,25,NA,"934,274",0,NA,NA,2929,19,6144
"20","CC163.BHX81_HS069",NA,NA,NA,"CC163",6,1,NA,0,0,11489,NA,0,25,NA,"934,342",0,NA,NA,2928,20,4706
"21","CC163.BHX81_HS067",NA,NA,NA,"CC163",6,1,NA,0,0,1600,NA,0,25,NA,"934,394",0,NA,NA,2927,21,655
"22","CC163.BHX81_HS065",NA,NA,NA,"CC163",6,1,NA,0,0,1600,NA,0,25,NA,"934,443",0,NA,NA,2926,22,655
"23","CC163.BHX81_HM063",NA,NA,NA,"CC163",6,1,NA,0,0,3000,NA,0,25,NA,"934,494",0,NA,NA,2901,23,1228
"24","CC163.BHX81_HS061",NA,NA,NA,"CC163",6,1,NA,0,0,2263,NA,0,25,NA,"934,530",0,NA,NA,2925,24,926
"25","CC163.BHX81_HT059",NA,NA,NA,"CC163",6,1,NA,0,0,1335,NA,0,25,NA,"936,558",0,NA,NA,2975,25,546
"26","CC163.BHX81_HT057",NA,NA,NA,"CC163",6,1,NA,0,0,1335,NA,0,25,NA,"949,570",0,NA,NA,2974,26,546
"27","CC163.BHX81_HT055",NA,NA,NA,"CC163",6,1,NA,0,0,1335,NA,0,25,NA,"967,577",0,NA,NA,2973,27,546
